time,real,imag,mag,phase
0.000000000000000000e+00,-3.663191648563047693e+03,4.823040491540294170e+03,6.056458753854375573e+03,2.220361911638600638e+00
1.612903177738189697e-01,-6.489939127002534406e+03,6.394383568208810402e+02,6.521364219576467804e+03,3.043381999229333612e+00
3.225806355476379395e-01,-6.942507846959229937e+03,-8.516058071707667523e+02,6.994544134959579424e+03,-3.019536955452502891e+00
4.838709533214569092e-01,-6.574431235635333906e+03,9.509776029724529280e+02,6.642853639321941955e+03,2.997941108923768194e+00
6.451612710952758789e-01,-6.874440026046674575e+03,7.634509670340529510e+02,6.916703192329263402e+03,3.030989418342450836e+00
8.064515888690948486e-01,-6.678572083578867023e+03,-1.656631368426595145e+03,6.880970321576306560e+03,-2.898448493962704653e+00
9.677419066429138184e-01,-5.220045563504599158e+03,-5.339887049898290570e+03,7.467480792793210640e+03,-2.344846279340468520e+00
1.129032224416732788e+00,-6.291134603488209905e+03,-2.871981044212476718e+03,6.915681435514690747e+03,-2.713336217642514647e+00
1.290322542190551758e+00,-6.839744832416721692e+03,-1.217212026906475558e+03,6.947209115250311697e+03,-2.965474830091176628e+00
1.451612859964370728e+00,-6.736332405809856027e+03,-1.691870170145556585e+03,6.945545259674891895e+03,-2.895526305119610733e+00
1.612903177738189697e+00,-5.415418587721713266e+03,-4.689767221895783223e+03,7.163844992447137884e+03,-2.427881237481710475e+00
1.774193495512008667e+00,-5.258762605586784957e+03,-4.881075537215445365e+03,7.174920385754880044e+03,-2.393425118574454391e+00
1.935483813285827637e+00,-6.181024934270085396e+03,-2.801864591512095558e+03,6.786421326976225828e+03,-2.715997032638727049e+00
2.096774131059646606e+00,-6.312486383533482694e+03,-2.677969647317591352e+03,6.857040598848014270e+03,-2.740371222287446340e+00
2.258064448833465576e+00,-5.591623767939966456e+03,-3.741276856995212711e+03,6.727808624127109397e+03,-2.551917036636545344e+00
2.419354766607284546e+00,-4.013074698131089008e+03,-6.030496645469226678e+03,7.243732347608898635e+03,-2.157965425015790029e+00
2.580645084381103516e+00,-5.014053643543375074e+03,-4.193942051826036732e+03,6.536809915731478213e+03,-2.445025256651468748e+00
2.741935402154922485e+00,-6.311032086586638798e+03,6.024555233572316126e+01,6.311319634157530345e+03,3.132046873818522759e+00
