time,phase_detrended
0.000000000000000000e+00,-3.491342835721136240e-01
4.999999888241291046e-03,-3.353935740664546472e-01
9.999999776482582092e-03,-3.131993811168762853e-01
1.499999966472387314e-02,-3.001227239857517937e-01
1.999999955296516418e-02,-2.803237579977677640e-01
2.499999944120645523e-02,-2.761331039453280844e-01
2.999999932944774628e-02,-2.800853172944819391e-01
3.499999921768903732e-02,-2.942826465866228425e-01
3.999999910593032837e-02,-3.018398520696674581e-01
4.499999899417161942e-02,-3.033397880939419089e-01
4.999999888241291046e-02,-2.772240312610114721e-01
5.499999877065420151e-02,-2.455907300802930848e-01
5.999999865889549255e-02,-2.021940038550322782e-01
6.499999854713678360e-02,-1.445840688271169405e-01
6.999999843537807465e-02,-6.265653385551850363e-02
7.499999832361936569e-02,1.229635800264583523e-02
7.999999821186065674e-02,5.076552958076252509e-02
8.499999810010194778e-02,7.290815174276898958e-02
8.999999798834323883e-02,6.136107472576490807e-02
9.499999787658452988e-02,1.494318379731085500e-02
9.999999776482582092e-02,-3.850768682450667058e-02
1.049999976530671120e-01,-6.528210324861039027e-02
1.099999975413084030e-01,-8.063960772963074675e-02
1.149999974295496941e-01,-1.008941209521685423e-01
1.199999973177909851e-01,-1.164345723350868056e-01
1.249999972060322762e-01,-1.052941878270794440e-01
1.299999970942735672e-01,-8.852144875030409921e-02
1.349999969825148582e-01,-6.900649596138030972e-02
1.399999968707561493e-01,-5.100199380425474160e-02
1.449999967589974403e-01,-2.331341244503670751e-02
1.499999966472387314e-01,6.603541395931333824e-03
1.549999965354800224e-01,4.082710192910932179e-02
1.599999964237213135e-01,9.413156463816596542e-02
1.649999963119626045e-01,1.372428399693648160e-01
1.699999962002038956e-01,1.850421646475064463e-01
1.749999960884451866e-01,2.449861248183626827e-01
1.799999959766864777e-01,3.158743785799358328e-01
1.849999958649277687e-01,3.835385357826459618e-01
1.899999957531690598e-01,4.502069775150223663e-01
1.949999956414103508e-01,5.030312135616195057e-01
1.999999955296516418e-01,5.560731650531720582e-01
2.049999954178929329e-01,5.969078345627143456e-01
2.099999953061342239e-01,6.352997134253963729e-01
2.149999951943755150e-01,6.611441723959745609e-01
2.199999950826168060e-01,6.858408985456305729e-01
2.249999949708580971e-01,7.060577416088009706e-01
2.299999948590993881e-01,7.252835210448798087e-01
2.349999947473406792e-01,7.458120665166165786e-01
2.399999946355819702e-01,7.706186984567429121e-01
2.449999945238232613e-01,7.906939255528606658e-01
2.499999944120645523e-01,8.135982396973147068e-01
2.549999943003058434e-01,8.332023331787929976e-01
2.599999941885471344e-01,8.570845795442245674e-01
2.649999940767884254e-01,8.716720158738904267e-01
2.699999939650297165e-01,8.901778848987262904e-01
2.749999938532710075e-01,9.022349620110334811e-01
2.799999937415122986e-01,9.048753394779569525e-01
2.849999936297535896e-01,9.107738398705476079e-01
2.899999935179948807e-01,9.073819139036451986e-01
2.949999934062361717e-01,8.992359898917876571e-01
2.999999932944774628e-01,8.947700439476107270e-01
3.049999931827187538e-01,8.877592612260816196e-01
3.099999930709600449e-01,8.854794437441566579e-01
3.149999929592013359e-01,8.856012798844092870e-01
3.199999928474426270e-01,8.966796388797955153e-01
3.249999927356839180e-01,8.987983681604290176e-01
3.299999926239252090e-01,8.970597654924699071e-01
3.349999925121665001e-01,8.776927868248782794e-01
3.399999924004077911e-01,8.590913491270870672e-01
3.449999922886490822e-01,8.597490716254170273e-01
3.499999921768903732e-01,8.769657722630475050e-01
3.549999920651316643e-01,8.892204675041650574e-01
3.599999919533729553e-01,8.912475600129239339e-01
