time,phase_filtered
0.000000000000000000e+00,-2.113124278249031707e-01
4.999999888241291046e-03,-2.078751562611332870e-01
9.999999776482582092e-03,-2.042790779622670749e-01
1.499999966472387314e-02,-2.005114353756886902e-01
1.999999955296516418e-02,-1.965565284258738443e-01
2.499999944120645523e-02,-1.923958485820917441e-01
2.999999932944774628e-02,-1.880082622407042159e-01
3.499999921768903732e-02,-1.833702420247825815e-01
3.999999910593032837e-02,-1.784561439281182604e-01
4.499999899417161942e-02,-1.732385275970537430e-01
4.999999888241291046e-02,-1.676885164768384395e-01
5.499999877065420151e-02,-1.617761940644929231e-01
5.999999865889549255e-02,-1.554710321053087152e-01
6.499999854713678360e-02,-1.487423462257382312e-01
6.999999843537807465e-02,-1.415597741818950817e-01
7.499999832361936569e-02,-1.338937715879398582e-01
7.999999821186065674e-02,-1.257161196412154014e-01
8.499999810010194778e-02,-1.170004389562777497e-01
8.999999798834323883e-02,-1.077227031516872491e-01
9.499999787658452988e-02,-9.786174532658047098e-02
9.999999776482582092e-02,-8.739975007540587426e-02
1.049999976530671120e-01,-7.632272329494912966e-02
1.099999975413084030e-01,-6.462093181508161976e-02
1.149999974295496941e-01,-5.228930489127183584e-02
1.199999973177909851e-01,-3.932778985659499127e-02
1.249999972060322762e-01,-2.574165473639208890e-02
1.299999970942735672e-01,-1.154173135694563750e-02
1.349999969825148582e-01,3.255406597686560152e-03
1.399999968707561493e-01,1.862733504324158573e-02
1.449999967589974403e-01,3.454574372525517217e-02
1.499999966472387314e-01,5.097647519165487279e-02
1.549999965354800224e-01,6.787963913887608280e-02
1.599999964237213135e-01,8.520980140034942196e-02
1.649999963119626045e-01,1.029162454906993873e-01
1.699999962002038956e-01,1.209433033021947851e-01
1.749999960884451866e-01,1.392307503050540241e-01
1.799999959766864777e-01,1.577142594609037274e-01
1.849999958649277687e-01,1.763259070463463751e-01
1.899999957531690598e-01,1.949947227277540329e-01
1.949999956414103508e-01,2.136472755554636171e-01
1.999999955296516418e-01,2.322082870761999762e-01
2.049999954178929329e-01,2.506012625050657028e-01
2.099999953061342239e-01,2.687491308473211604e-01
2.149999951943755150e-01,2.865748849999945613e-01
2.199999950826168060e-01,3.040022131731146549e-01
2.249999949708580971e-01,3.209561134259685256e-01
2.299999948590993881e-01,3.373634836895844091e-01
2.349999947473406792e-01,3.531536803174766259e-01
2.399999946355819702e-01,3.682590389503392347e-01
2.449999945238232613e-01,3.826153522790839423e-01
2.499999944120645523e-01,3.961623001312307157e-01
2.549999943003058434e-01,4.088438281783232098e-01
2.599999941885471344e-01,4.206084724578567635e-01
2.649999940767884254e-01,4.314096278125992834e-01
2.699999939650297165e-01,4.412057592627484648e-01
2.749999938532710075e-01,4.499605562309730855e-01
2.799999937415122986e-01,4.576430304247088299e-01
2.849999936297535896e-01,4.642275590300940502e-01
2.899999935179948807e-01,4.696938756717022323e-01
2.949999934062361717e-01,4.740270123243690015e-01
2.999999932944774628e-01,4.772171960103841482e-01
3.049999931827187538e-01,4.792597046610237443e-01
3.099999930709600449e-01,4.801546869526496786e-01
3.149999929592013359e-01,4.799069512360421008e-01
3.199999928474426270e-01,4.785257288614002125e-01
3.249999927356839180e-01,4.760244172654761741e-01
3.299999926239252090e-01,4.724203081422427286e-01
3.349999925121665001e-01,4.677343058774294793e-01
3.399999924004077911e-01,4.619906411999599172e-01
3.449999922886490822e-01,4.552165846915091629e-01
3.499999921768903732e-01,4.474421643951159155e-01
3.549999920651316643e-01,4.386998912757593683e-01
3.599999919533729553e-01,4.290244957256015845e-01
3.649999918416142464e-01,4.184526777030945777e-01
3.699999917298555374e-01,4.070228724777306129e-01
