time,phase_unwrapped
0.000000000000000000e+00,2.007174122623604617e+00
4.999999888241291046e-03,2.020914832129263594e+00
9.999999776482582092e-03,2.043109025078841956e+00
1.499999966472387314e-02,2.056185682209966448e+00
1.999999955296516418e-02,2.075984648197950477e+00
2.499999944120645523e-02,2.080175302250390157e+00
2.999999932944774628e-02,2.076223088901236302e+00
3.499999921768903732e-02,2.062025759609095399e+00
3.999999910593032837e-02,2.054468554126050783e+00
4.499999899417161942e-02,2.052968618101776332e+00
4.999999888241291046e-02,2.079084374934706769e+00
5.499999877065420151e-02,2.110717676115425157e+00
5.999999865889549255e-02,2.154114402340685963e+00
6.499999854713678360e-02,2.211724337368601301e+00
6.999999843537807465e-02,2.293651872340199738e+00
7.499999832361936569e-02,2.368604764198364077e+00
7.999999821186065674e-02,2.407073935776480766e+00
8.499999810010194778e-02,2.429216557938487231e+00
8.999999798834323883e-02,2.417669480921483149e+00
9.499999787658452988e-02,2.371251589993029096e+00
9.999999776482582092e-02,2.317800719371211571e+00
1.049999976530671120e-01,2.291026302947107851e+00
1.099999975413084030e-01,2.275668798466087495e+00
1.149999974295496941e-01,2.255414285243549699e+00
1.199999973177909851e-01,2.239873833860631436e+00
1.249999972060322762e-01,2.251014218368638797e+00
1.299999970942735672e-01,2.267786957445414142e+00
1.349999969825148582e-01,2.287301910234337932e+00
1.399999968707561493e-01,2.305306412391463500e+00
1.449999967589974403e-01,2.332994993750681534e+00
1.499999966472387314e-01,2.362911947591649575e+00
1.549999965354800224e-01,2.397135508124827563e+00
1.599999964237213135e-01,2.450439970833884207e+00
1.649999963119626045e-01,2.493551246165083057e+00
1.699999962002038956e-01,2.541350570843224688e+00
1.749999960884451866e-01,2.601294531014080924e+00
1.799999959766864777e-01,2.672182784775654074e+00
1.849999958649277687e-01,2.739846941978364203e+00
1.899999957531690598e-01,2.806515383710740608e+00
1.949999956414103508e-01,2.859339619757337747e+00
1.999999955296516418e-01,2.912381571248890300e+00
2.049999954178929329e-01,2.953216240758432587e+00
2.099999953061342239e-01,2.991608119621114614e+00
2.149999951943755150e-01,3.017452578591692802e+00
2.199999950826168060e-01,3.042149304741348814e+00
2.249999949708580971e-01,3.062366147804519212e+00
2.299999948590993881e-01,3.081591927240598050e+00
2.349999947473406792e-01,3.102120472712334820e+00
2.399999946355819702e-01,3.126927104652461153e+00
2.449999945238232613e-01,3.147002331748578907e+00
2.499999944120645523e-01,3.169906645893032948e+00
2.549999943003058434e-01,3.189510739374511239e+00
2.599999941885471344e-01,3.213392985739942809e+00
2.649999940767884254e-01,3.227980422069608668e+00
2.699999939650297165e-01,3.246486291094444532e+00
2.749999938532710075e-01,3.258543368206751722e+00
2.799999937415122986e-01,3.261183745673675194e+00
2.849999936297535896e-01,3.267082246066265849e+00
2.899999935179948807e-01,3.263690320099363440e+00
2.949999934062361717e-01,3.255544396087505898e+00
2.999999932944774628e-01,3.251078450143328968e+00
3.049999931827187538e-01,3.244067667421799861e+00
3.099999930709600449e-01,3.241787849939874899e+00
3.149999929592013359e-01,3.241909686080127528e+00
3.199999928474426270e-01,3.252988045075513757e+00
3.249999927356839180e-01,3.255106774356147259e+00
3.299999926239252090e-01,3.253368171688188148e+00
3.349999925121665001e-01,3.234001193020596521e+00
3.399999924004077911e-01,3.215399755322805309e+00
3.449999922886490822e-01,3.216057477821135269e+00
3.499999921768903732e-01,3.233274178458765746e+00
3.549999920651316643e-01,3.245528873699883299e+00
3.599999919533729553e-01,3.247555966208642175e+00
3.649999918416142464e-01,3.251249670934436065e+00
3.699999917298555374e-01,3.261479192705785124e+00
3.749999916180968285e-01,3.271925654021666574e+00
3.799999915063381195e-01,3.275466981295755531e+00
