real,imag,mag,phase,unwrapped_phase
-2.506096571721399414e+03,5.373703315571723579e+03,5.929351343155530230e+03,2.007174122623604617e+00,2.007174122623604617e+00
-2.583627379603628469e+03,5.346897339177977301e+03,5.938387120451649935e+03,2.020914832129263594e+00,2.020914832129263594e+00
-2.698040418766402581e+03,5.281175486339750933e+03,5.930449950788985916e+03,2.043109025078841956e+00,2.043109025078841956e+00
-2.789786316103369245e+03,5.288892483889758296e+03,5.979572843913115321e+03,2.056185682209966448e+00,2.056185682209966448e+00
-2.905279387262826276e+03,5.253114478908792080e+03,6.002987593405091502e+03,2.075984648197950477e+00,2.075984648197950477e+00
-2.916555463165236233e+03,5.221714321534288501e+03,5.981019664357850161e+03,2.080175302250390157e+00,2.080175302250390157e+00
-2.880950500930528051e+03,5.206193271726628154e+03,5.950153289738296735e+03,2.076223088901236302e+00,2.076223088901236302e+00
-2.801361413589132098e+03,5.236498915417093485e+03,5.938732748719249685e+03,2.062025759609095399e+00,2.062025759609095399e+00
-2.757514807152112553e+03,5.249536034454918990e+03,5.929714705506819882e+03,2.054468554126050783e+00,2.054468554126050783e+00
-2.760799166244623393e+03,5.274992090315167843e+03,5.953784812136275832e+03,2.052968618101776332e+00,2.052968618101776332e+00
-2.928759065775400813e+03,5.257026191662803285e+03,6.017803091260988367e+03,2.079084374934706769e+00,2.079084374934706769e+00
-3.139241785614249238e+03,5.237982302558114498e+03,6.106660101107522678e+03,2.110717676115425157e+00,2.110717676115425157e+00
-3.408801826536443514e+03,5.165468421931433113e+03,6.188860469470046155e+03,2.154114402340685963e+00,2.154114402340685963e+00
-3.768042394390305617e+03,5.051081366634326514e+03,6.301711391224062936e+03,2.211724337368601301e+00,2.211724337368601301e+00
-4.255460334114284706e+03,4.824058795317980184e+03,6.432766583353139140e+03,2.293651872340199738e+00,2.293651872340199738e+00
-4.638026886296596786e+03,4.524313888848571878e+03,6.479252237939050246e+03,2.368604764198364077e+00,2.368604764198364077e+00
-4.776691306624607023e+03,4.313773951093808137e+03,6.436258660116029205e+03,2.407073935776480766e+00,2.407073935776480766e+00
-4.885476664052186607e+03,4.219433076285817151e+03,6.455346444634344152e+03,2.429216557938487231e+00,2.429216557938487231e+00
-4.843438653617817181e+03,4.281759445498367313e+03,6.464701225924804021e+03,2.417669480921483149e+00,2.417669480921483149e+00
-4.484752691295268050e+03,4.351691414638975402e+03,6.249017912466142661e+03,2.371251589993029096e+00,2.371251589993029096e+00
-4.182415122161199179e+03,4.516566015022146530e+03,6.155644955821908297e+03,2.317800719371211571e+00,2.317800719371211571e+00
-4.045280636436314580e+03,4.610138465852122863e+03,6.133324718442352605e+03,2.291026302947107851e+00,2.291026302947107851e+00
-3.939559583647053387e+03,4.631223469782811662e+03,6.080161226494942639e+03,2.275668798466087495e+00,2.275668798466087495e+00
-3.769112558661328421e+03,4.617155399527940972e+03,5.960229312975177891e+03,2.255414285243549699e+00,2.255414285243549699e+00
-3.709658251483015192e+03,4.691293851189725501e+03,5.980786097245624660e+03,2.239873833860631436e+00,2.239873833860631436e+00
-3.778048076889281219e+03,4.669896408939101093e+03,6.006794464729844549e+03,2.251014218368638797e+00,2.251014218368638797e+00
-3.900598444030058545e+03,4.659339186363706176e+03,6.076521198445218033e+03,2.267786957445414142e+00,2.267786957445414142e+00
-3.980953570787154604e+03,4.571057558229140341e+03,6.061564033597825983e+03,2.287301910234337932e+00,2.287301910234337932e+00
-4.074144761311044476e+03,4.511425451629002964e+03,6.078784018348092104e+03,2.305306412391463500e+00,2.305306412391463500e+00
-4.228455398200265336e+03,4.429348122738925667e+03,6.123639428230552767e+03,2.332994993750681534e+00,2.332994993750681534e+00
-4.355086021150188571e+03,4.296965360358910402e+03,6.118062238956233159e+03,2.362911947591649575e+00,2.362911947591649575e+00
-4.530117296404195258e+03,4.173579847849587168e+03,6.159604814073435591e+03,2.397135508124827563e+00,2.397135508124827563e+00
-4.786910776617458396e+03,3.960095529902494491e+03,6.212638037842706581e+03,2.450439970833884207e+00,2.450439970833884207e+00
-4.925769549911866307e+03,3.729391280717219161e+03,6.178314089096519638e+03,2.493551246165083057e+00,2.493551246165083057e+00
-5.139529643027821294e+03,3.517968235716072286e+03,6.228231326714586430e+03,2.541350570843224688e+00,2.541350570843224688e+00
-5.381522267235931395e+03,3.228025077423767925e+03,6.275422520693956358e+03,2.601294531014080924e+00,2.601294531014080924e+00
-5.628190282099363685e+03,2.854751595914843620e+03,6.310794920285086846e+03,2.672182784775654074e+00,2.672182784775654074e+00
-5.807102010947184681e+03,2.467161838857496150e+03,6.309462838044260934e+03,2.739846941978364203e+00,2.739846941978364203e+00
-5.999605163915201956e+03,2.089109022665116299e+03,6.352923628649941747e+03,2.806515383710740608e+00,2.806515383710740608e+00
-6.098732592425213625e+03,1.768603438996079376e+03,6.349999791995141095e+03,2.859339619757337747e+00,2.859339619757337747e+00
-6.248575675486266846e+03,1.457863609469808125e+03,6.416390283959899534e+03,2.912381571248890300e+00,2.912381571248890300e+00
-6.328832879757803312e+03,1.206507960412255670e+03,6.442808943189421370e+03,2.953216240758432587e+00,2.953216240758432587e+00
-6.399550624040693947e+03,9.670962428383531915e+02,6.472211626065057317e+03,2.991608119621114614e+00,2.991608119621114614e+00
-6.487729061300589819e+03,8.095500443228122549e+02,6.538042493522605582e+03,3.017452578591692802e+00,3.017452578591692802e+00
-6.543579546955354999e+03,6.528689529866653629e+02,6.576068062079829360e+03,3.042149304741348814e+00,3.042149304741348814e+00
-6.624246728010979496e+03,5.259167474048717850e+02,6.645090905229595592e+03,3.062366147804519212e+00,3.062366147804519212e+00
-6.707998630205622248e+03,4.029684801461718848e+02,6.720091459112132725e+03,3.081591927240598050e+00,3.081591927240598050e+00
-6.740078325459539883e+03,2.661838480054769889e+02,6.745332436156759286e+03,3.102120472712334820e+00,3.102120472712334820e+00
-6.808853633876894492e+03,9.986273571407528493e+01,6.809585917920625434e+03,3.126927104652461153e+00,3.126927104652461153e+00
-6.886132415123894134e+03,-3.725212351503199670e+01,6.886233176369096327e+03,-3.136182975431007325e+00,3.147002331748578907e+00
-6.949511457703179985e+03,-1.968210127007914139e+02,6.952298038187685961e+03,-3.113278661286553284e+00,3.169906645893032948e+00
-6.995352012423825727e+03,-3.354606723560839896e+02,7.003390867317036282e+03,-3.093674567805074993e+00,3.189510739374511239e+00
-7.012402615331278867e+03,-5.043598416680302989e+02,7.030517000149588057e+03,-3.069792321439643423e+00,3.213392985739942809e+00
-7.003288169347804796e+03,-6.065079467250391190e+02,7.029501907842941364e+03,-3.055204885109977564e+00,3.227980422069608668e+00
-7.069381431350780986e+03,-7.442647720753138856e+02,7.108451580539852330e+03,-3.036699016085141700e+00,3.246486291094444532e+00
-7.035677672976029498e+03,-8.265995693165809826e+02,7.084068546111602700e+03,-3.024641938972834510e+00,3.258543368206751722e+00
-7.046204384049443433e+03,-8.467036581301815659e+02,7.096893919630518212e+03,-3.022001561505911038e+00,3.261183745673675194e+00
-7.001298496616397642e+03,-8.832312383608256141e+02,7.056789500838141976e+03,-3.016103061113320383e+00,3.267082246066265849e+00
-7.020963868761597041e+03,-8.615287435506902511e+02,7.073624631150554706e+03,-3.019494987080222792e+00,3.263690320099363440e+00
-7.025714137219570148e+03,-8.040756922627915628e+02,7.071576688180281963e+03,-3.027640911092080334e+00,3.255544396087505898e+00
-6.996798594175739709e+03,-7.691257319968123056e+02,7.038944875411317298e+03,-3.032106857036257264e+00,3.251078450143328968e+00
-6.986726137340061541e+03,-7.184815757596760477e+02,7.023571590928428122e+03,-3.039117639757786371e+00,3.244067667421799861e+00
-6.971678703905533439e+03,-7.008756695190814980e+02,7.006820295584421729e+03,-3.041397457239711333e+00,3.241787849939874899e+00
-7.020114576482217672e+03,-7.066089752884538484e+02,7.055586787142250614e+03,-3.041275621099458704e+00,3.241909686080127528e+00
-7.024547031061784764e+03,-7.857549854774749747e+02,7.068357085546941562e+03,-3.030197262104072475e+00,3.252988045075513757e+00
-7.051368784303918801e+03,-8.038857086696514216e+02,7.097044030077524440e+03,-3.028078532823438973e+00,3.255106774356147259e+00
-7.064701466818924018e+03,-7.929657970385421777e+02,7.109064746543417641e+03,-3.029817135491398084e+00,3.253368171688188148e+00
-7.010369102352336085e+03,-6.496682689116952361e+02,7.040407929292663539e+03,-3.049184114158989711e+00,3.234001193020596521e+00
-6.984678915446749670e+03,-5.164570459370472690e+02,7.003746671045748371e+03,-3.067785551856780923e+00,3.215399755322805309e+00
-7.057755024126362514e+03,-5.265280483964660334e+02,7.077367997096737781e+03,-3.067127829358450963e+00,3.216057477821135269e+00
-7.055604266397152969e+03,-6.486870908525808090e+02,7.085361423797695352e+03,-3.049911128720820486e+00,3.233274178458765746e+00
-7.056180221974987944e+03,-7.360450453401699633e+02,7.094465563646130249e+03,-3.037656433479702933e+00,3.245528873699883299e+00
-7.081530185091914973e+03,-7.532035552572640427e+02,7.121473538392184309e+03,-3.035629340970944057e+00,3.247555966208642175e+00
-7.086461615172565871e+03,-7.802100078013786515e+02,7.129282283623479088e+03,-3.031935636245150167e+00,3.251249670934436065e+00
-7.139254012361514469e+03,-8.600247248876694357e+02,7.190868541451588499e+03,-3.021706114473801108e+00,3.261479192705785124e+00
-7.117364827631428852e+03,-9.329158895117921020e+02,7.178245896213679771e+03,-3.011259653157919658e+00,3.271925654021666574e+00
-7.100555724830069266e+03,-9.563020169926628569e+02,7.164663645218895908e+03,-3.007718325883830701e+00,3.275466981295755531e+00
-7.086784734447961455e+03,-9.779218696976623733e+02,7.153939408160907078e+03,-3.004466338053620067e+00,3.278718969125966165e+00
-7.032379540059773717e+03,-1.009517074592402082e+03,7.104469488944612749e+03,-2.999014018877960375e+00,3.284171288301625857e+00
-7.011987265352363465e+03,-1.005649760770436274e+03,7.083734668294780022e+03,-2.999145363429176925e+00,3.284039943750409307e+00
-6.995793608458371637e+03,-9.944212315020937467e+02,7.066116457985188390e+03,-3.000392987131128564e+00,3.282792320048457668e+00
-6.983776616221846780e+03,-1.012167831963786625e+03,7.056742842512353491e+03,-2.997663516732204325e+00,3.285521790447381907e+00
-6.975316191402726872e+03,-1.056064375073179690e+03,7.054807434249623839e+03,-2.991333584084018948e+00,3.291851723095567284e+00
-6.922912258837903209e+03,-1.104178702650572177e+03,7.010415447814431900e+03,-2.983428583567562242e+00,3.299756723612023990e+00
-6.900365435031520065e+03,-1.182358369174681684e+03,7.000929541863362829e+03,-2.971893418802740161e+00,3.311291888376846071e+00
-6.875186162163769950e+03,-1.175552412402678101e+03,6.974962956081842094e+03,-2.972245502238889170e+00,3.310939804940697062e+00
-6.868251708686315396e+03,-1.163461261096181715e+03,6.966098164678991452e+03,-2.973788613819762894e+00,3.309396693359823338e+00
-6.815122246889303824e+03,-1.102825670389087236e+03,6.903775467040816693e+03,-2.981162955884628651e+00,3.302022351294957581e+00
-6.791437051320349383e+03,-1.041994841410916479e+03,6.870907543518090279e+03,-2.989352089942647783e+00,3.293833217236938449e+00
-6.812105141732385164e+03,-9.632374633344879840e+02,6.879869393585016041e+03,-3.001123055183536614e+00,3.282062251996049618e+00
-6.760365720891624733e+03,-8.952224174370762739e+02,6.819381779669504795e+03,-3.009936458492540101e+00,3.273248848687046131e+00
-6.739664730198071993e+03,-8.073935697587509139e+02,6.787854230311934771e+03,-3.022363564836659577e+00,3.260821742342926655e+00
-6.744908110577032858e+03,-7.047731306502995494e+02,6.781628903575781806e+03,-3.037480801127991903e+00,3.245704506051594329e+00
-6.671003657573440250e+03,-5.661061637912805509e+02,6.694980656285774785e+03,-3.056934763057013171e+00,3.226250544122573061e+00
-6.700225332793829693e+03,-4.330459823104789621e+02,6.714204966562119807e+03,-3.077050867469085738e+00,3.206134439710500494e+00
-6.642294412487045520e+03,-3.128455163840874320e+02,6.649657688879801754e+03,-3.094528420330123097e+00,3.188656886849463135e+00
-6.586071985701635640e+03,-7.010616016706879350e+01,6.586445101459303260e+03,-3.130948446747931158e+00,3.152236860431655074e+00
-6.597347638866280249e+03,8.714187430248486521e+01,6.597923125826144314e+03,3.128384799193091759e+00,3.128384799193090871e+00
-6.518895038093995936e+03,2.876454567409335823e+02,6.525238112626252587e+03,3.097496377999693795e+00,3.097496377999692907e+00
-6.494457793886829677e+03,4.673528242611811265e+02,6.511251853439727711e+03,3.069754694576339205e+00,3.069754694576338316e+00
-6.483861404936767940e+03,6.348668134358896395e+02,6.514868731542551359e+03,3.043988853564986830e+00,3.043988853564985941e+00
-6.441111441968771032e+03,7.770419379624293015e+02,6.487812480429241987e+03,3.021534964142222890e+00,3.021534964142222002e+00
-6.405164206622046549e+03,8.653252764281844520e+02,6.463351788957315875e+03,3.007307619265398024e+00,3.007307619265397136e+00
-6.392886583898215576e+03,9.579760073741899760e+02,6.464264606688868298e+03,2.992849109721501311e+00,2.992849109721500422e+00
-6.396707119196484200e+03,1.002561197319066878e+03,6.474796593187220424e+03,2.986126578227274564e+00,2.986126578227273676e+00
